Nom complet,Pays,Résultat,Sport,Epreuve,Médaille,Position
aaron wolf,JPN,Unknown,judo,100kg-h,Gold,1
guham cho,KOR,Unknown,judo,100kg-h,Silver,2
jorge fonseca,POR,Unknown,judo,100kg-h,Bronze,3
niiaz iliasov,ROC,Unknown,judo,100kg-h,Bronze,3
shady elnahas,CAN,Unknown,judo,100kg-h,NA,=5
varlam liparteliani,GEO,Unknown,judo,100kg-h,NA,=5
peter paltchik,ISR,Unknown,judo,100kg-h,NA,=7
karl-richard frey,GER,Unknown,judo,100kg-h,NA,=7
zelym kotsoiev,AZE,Unknown,judo,100kg-h,NA,=9
toma nikiforov,BEL,Unknown,judo,100kg-h,NA,=9
ramadan darwish,EGY,Unknown,judo,100kg-h,NA,=9
miklos cirjenics,HUN,Unknown,judo,100kg-h,NA,=9
otgonbaatar lkhagvasuren,MGL,Unknown,judo,100kg-h,NA,=9
michael korrel,NED,Unknown,judo,100kg-h,NA,=9
aleksandar kukolj,SRB,Unknown,judo,100kg-h,NA,=9
mukhammadkarim khurramov,UZB,Unknown,judo,100kg-h,NA,=9
mikita sviryd,BLR,Unknown,judo,100kg-h,NA,=17
rafael buzacarini,BRA,Unknown,judo,100kg-h,NA,=17
grigori minaskin,EST,Unknown,judo,100kg-h,NA,=17
tevita takayawa,FIJ,Unknown,judo,100kg-h,NA,=17
alexandre iddir,FRA,Unknown,judo,100kg-h,NA,=17
benjamin fletcher,IRL,Unknown,judo,100kg-h,NA,=17
hussain shah shah,PAK,Unknown,judo,100kg-h,NA,=17
ivan remarenco,UAE,Unknown,judo,100kg-h,NA,=17
jevgenijs borodavko,LAT,Unknown,judo,100kg-h,NA,Non classé
izaac stubblety-cook,AUS,Résultats:2:06.38,natation,200m-brasse-h,Gold,1
arno kamminga,NED,Résultats:2:07.01,natation,200m-brasse-h,Silver,2
matti mattsson,FIN,Résultats:2:07.13,natation,200m-brasse-h,Bronze,3
anton chupkov,ROC,Résultats:2:07.24,natation,200m-brasse-h,NA,4
nic fink,USA,Résultats:2:07.93,natation,200m-brasse-h,NA,5
james wilby,GBR,Résultats:2:08.19,natation,200m-brasse-h,NA,6
ryuya mura,JPN,Résultats:2:08.42,natation,200m-brasse-h,NA,7
erik persson,SWE,Résultats:2:08.88,natation,200m-brasse-h,NA,8
emma twigg,NZL,Unknown,aviron,skiff-f,Gold,1
hanna prakatsen,ROC,Unknown,aviron,skiff-f,Silver,2
magdalena lobnig,AUT,Unknown,aviron,skiff-f,Bronze,3
victoria thornley,GBR,Unknown,aviron,skiff-f,NA,4
jeannine gmelin,SUI,Unknown,aviron,skiff-f,NA,5
yan jiang,CHN,Unknown,aviron,skiff-f,NA,6
sophie souwer,NED,Unknown,aviron,skiff-f,NA,7
carling zeeman,CAN,Unknown,aviron,skiff-f,NA,8
kara kohler,USA,Unknown,aviron,skiff-f,NA,9
anneta kyridou,GRE,Unknown,aviron,skiff-f,NA,10
nazanin malaei,IRI,Unknown,aviron,skiff-f,NA,11
sanita puspure,IRL,Unknown,aviron,skiff-f,NA,12
tatsiana klimovich,BLR,Unknown,aviron,skiff-f,NA,13
lovisa claesson,SWE,Unknown,aviron,skiff-f,NA,14
jovana arsic,SRB,Unknown,aviron,skiff-f,NA,15
kenia lechuga alanis,MEX,Unknown,aviron,skiff-f,NA,16
milena venega cancio,CUB,Unknown,aviron,skiff-f,NA,17
maike diekmann,NAM,Unknown,aviron,skiff-f,NA,18
felice chow,TTO,Unknown,aviron,skiff-f,NA,19
yi-ting huang,TPE,Unknown,aviron,skiff-f,NA,20
alejandra alonso,PAR,Unknown,aviron,skiff-f,NA,21
veronica toro arana,PUR,Unknown,aviron,skiff-f,NA,22
wing yan winne hung,HKG,Unknown,aviron,skiff-f,NA,23
hyejeong jeong,KOR,Unknown,aviron,skiff-f,NA,24
tala abujbara,QAT,Unknown,aviron,skiff-f,NA,25
kathleen noble,UGA,Unknown,aviron,skiff-f,NA,26
evidelia gonzalez jarquin,NCA,Unknown,aviron,skiff-f,NA,27
joan poh,SGP,Unknown,aviron,skiff-f,NA,28
sarah fraincart,MAR,Unknown,aviron,skiff-f,NA,29
esther toko,NGR,Unknown,aviron,skiff-f,NA,30
akossiwa claire ayivon,TOG,Unknown,aviron,skiff-f,NA,31
esraa khogali,SUD,Unknown,aviron,skiff-f,NA,32
lijun chen,CHN,Résultats:332,halterophilie,67kg-h,Gold,1
luis javier mosquera lozano,COL,Résultats:331,halterophilie,67kg-h,Silver,2
mirko zanni,ITA,Résultats:322,halterophilie,67kg-h,Bronze,3
myeongmok han,KOR,Résultats:321,halterophilie,67kg-h,NA,4
talha talib,PAK,Résultats:320,halterophilie,67kg-h,NA,5
adkhamjon ergashev,UZB,Résultats:312,halterophilie,67kg-h,NA,6
mitsunori konnai,JPN,Résultats:307,halterophilie,67kg-h,NA,7
goga chkheidze,GEO,Résultats:302,halterophilie,67kg-h,NA,8
. deni,INA,Résultats:301,halterophilie,67kg-h,NA,9
jonathan antonio munoz martinez,MEX,Résultats:298,halterophilie,67kg-h,NA,10
tojonirina alain andriantsitohaina,MAD,Résultats:285,halterophilie,67kg-h,NA,11
ruben katoatau,KIR,Résultats:245,halterophilie,67kg-h,NA,12
bernardin ledoux kingue matam,FRA,Résultats:-,halterophilie,67kg-h,NA,Non classé
muhammed furkan ozbek,TUR,Résultats:-,halterophilie,67kg-h,NA,Non classé
ariarne titmus,AUS,Résultats:3:56.69,natation,400m-nage-libre-f,Gold,1
katie ledecky,USA,Résultats:3:57.36,natation,400m-nage-libre-f,Silver,2
bingjie li,CHN,Résultats:4:01.08,natation,400m-nage-libre-f,Bronze,3
summer mcintosh,CAN,Résultats:4:02.42,natation,400m-nage-libre-f,NA,4
muhan tang,CHN,Résultats:4:04.10,natation,400m-nage-libre-f,NA,5
isabel gose,GER,Résultats:4:04.98,natation,400m-nage-libre-f,NA,6
paige madden,USA,Résultats:4:06.81,natation,400m-nage-libre-f,NA,7
erika fairweather,NZL,Résultats:4:08.01,natation,400m-nage-libre-f,NA,8
yuto horigome,JPN,Unknown,skateboard,street-h,Gold,1
kelvin hoefler,BRA,Unknown,skateboard,street-h,Silver,2
jagger eaton,USA,Unknown,skateboard,street-h,Bronze,3
vincent milou,FRA,Unknown,skateboard,street-h,NA,4
angelo caro narvaez,PER,Unknown,skateboard,street-h,NA,5
aurélien giraud,FRA,Unknown,skateboard,street-h,NA,6
nyjah imani huston,USA,Unknown,skateboard,street-h,NA,7
gustavo ribeiro,POR,Unknown,skateboard,street-h,NA,8
sora shirai,JPN,Unknown,skateboard,street-h,NA,9
micky papa,CAN,Unknown,skateboard,street-h,NA,10
jake ilardi,USA,Unknown,skateboard,street-h,NA,11
giovanni vianna,BRA,Unknown,skateboard,street-h,NA,12
axel cruysberghs,BEL,Unknown,skateboard,street-h,NA,13
gustavo felipe,BRA,Unknown,skateboard,street-h,NA,14
luis jhancarlos gonzalez ortiz,COL,Unknown,skateboard,street-h,NA,15
shane o'neill,AUS,Unknown,skateboard,street-h,NA,16
yukito aoki,JPN,Unknown,skateboard,street-h,NA,17
brandon valjalo,RSA,Unknown,skateboard,street-h,NA,18
manny santiago,PUR,Unknown,skateboard,street-h,NA,19
matt berger,CAN,Unknown,skateboard,street-h,NA,20
lisa carrington,NZL,Unknown,canoe-sprint,kayak-simple-200m-f,Gold,1
teresa portela,ESP,Unknown,canoe-sprint,kayak-simple-200m-f,Silver,2
emma jorgensen,DEN,Unknown,canoe-sprint,kayak-simple-200m-f,Bronze,3
marta walczykiewicz,POL,Unknown,canoe-sprint,kayak-simple-200m-f,NA,4
linnea stensils,SWE,Unknown,canoe-sprint,kayak-simple-200m-f,NA,5
dora lucz,HUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,6
francesca genzo,ITA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,7
deborah kerr,GBR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,8
andreanne langlois,CAN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,9
teresa portela,POR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,10
svetlana chernigovskaya,ROC,Unknown,canoe-sprint,kayak-simple-200m-f,NA,11
mengdie yin,CHN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,12
michelle russell,CAN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,=13
milica starovic,SRB,Unknown,canoe-sprint,kayak-simple-200m-f,NA,=13
qing ma,CHN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,15
anna karasz,HUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,16
helena wisniewska,POL,Unknown,canoe-sprint,kayak-simple-200m-f,NA,17
emily lewis,GBR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,18
vanina paoletti,FRA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,19
natalia podolskaia,ROC,Unknown,canoe-sprint,kayak-simple-200m-f,NA,20
anamaria govorcinovic,CRO,Unknown,canoe-sprint,kayak-simple-200m-f,NA,21
lea jamelot,FRA,Unknown,canoe-sprint,kayak-simple-200m-f,NA,22
joana vasconcelos,POR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,23
sara corfixsen milthers,DEN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,24
yuliia yuriichuk,UKR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,25
mariia kichasova-skoryk,UKR,Unknown,canoe-sprint,kayak-simple-200m-f,NA,26
brenda rojas,ARG,Unknown,canoe-sprint,kayak-simple-200m-f,NA,27
yuka ono,JPN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,28
khaoula sassi,TUN,Unknown,canoe-sprint,kayak-simple-200m-f,NA,29
natalya sergeyeva,KAZ,Unknown,canoe-sprint,kayak-simple-200m-f,NA,30
anne cairns,SAM,Unknown,canoe-sprint,kayak-simple-200m-f,NA,31
samaa ahmed,EGY,Unknown,canoe-sprint,kayak-simple-200m-f,NA,32
jade tierney,COK,Unknown,canoe-sprint,kayak-simple-200m-f,NA,33
amira kheris,ALG,Unknown,canoe-sprint,kayak-simple-200m-f,NA,34
lee kiefer,USA,Unknown,escrime,fleuret-individuel-f,Gold,1
inna deriglazova,ROC,Unknown,escrime,fleuret-individuel-f,Silver,2
larisa korobeynikova,ROC,Unknown,escrime,fleuret-individuel-f,Bronze,3
alice volpi,ITA,Unknown,escrime,fleuret-individuel-f,NA,4
arianna errigo,ITA,Unknown,escrime,fleuret-individuel-f,NA,5
yuka ueno,JPN,Unknown,escrime,fleuret-individuel-f,NA,6
hee sook jeon,KOR,Unknown,escrime,fleuret-individuel-f,NA,7
kelleigh ryan,CAN,Unknown,escrime,fleuret-individuel-f,NA,8
ysaora thibus,FRA,Unknown,escrime,fleuret-individuel-f,NA,9
adelina zagidullina,ROC,Unknown,escrime,fleuret-individuel-f,NA,10
qingyuan chen,CHN,Unknown,escrime,fleuret-individuel-f,NA,11
nicole ross,USA,Unknown,escrime,fleuret-individuel-f,NA,12
jessica zi jia guo,CAN,Unknown,escrime,fleuret-individuel-f,NA,13
leonie ebert,GER,Unknown,escrime,fleuret-individuel-f,NA,14
fanni kreiss,HUN,Unknown,escrime,fleuret-individuel-f,NA,15
eleanor harvey,CAN,Unknown,escrime,fleuret-individuel-f,NA,16
sera azuma,JPN,Unknown,escrime,fleuret-individuel-f,NA,17
pauline ranvier,FRA,Unknown,escrime,fleuret-individuel-f,NA,18
martina batini,ITA,Unknown,escrime,fleuret-individuel-f,NA,19
ines boubakri,TUN,Unknown,escrime,fleuret-individuel-f,NA,20
jacqueline dubrovich,USA,Unknown,escrime,fleuret-individuel-f,NA,21
anita blaze,FRA,Unknown,escrime,fleuret-individuel-f,NA,22
irem karamete,TUR,Unknown,escrime,fleuret-individuel-f,NA,23
rio azuma,JPN,Unknown,escrime,fleuret-individuel-f,NA,24
saskia loretta van erven garcia,COL,Unknown,escrime,fleuret-individuel-f,NA,25
noha hany,EGY,Unknown,escrime,fleuret-individuel-f,NA,26
yara elsharkawy,EGY,Unknown,escrime,fleuret-individuel-f,NA,27
noura mohamed,EGY,Unknown,escrime,fleuret-individuel-f,NA,28
kata kondricz,HUN,Unknown,escrime,fleuret-individuel-f,NA,29
amita berthier,SGP,Unknown,escrime,fleuret-individuel-f,NA,30
martyna jelinska,POL,Unknown,escrime,fleuret-individuel-f,NA,31
flora pasztor,HUN,Unknown,escrime,fleuret-individuel-f,NA,32
meriem mebarki,ALG,Unknown,escrime,fleuret-individuel-f,NA,33
katina proestakis,CHI,Unknown,escrime,fleuret-individuel-f,NA,34
jean quiquampoix,FRA,Unknown,tir,pistolet-tir-rapide-25m-h,Gold,1
leuris pupo,CUB,Unknown,tir,pistolet-tir-rapide-25m-h,Silver,2
yuehong li,CHN,Unknown,tir,pistolet-tir-rapide-25m-h,Bronze,3
daeyoon han,KOR,Unknown,tir,pistolet-tir-rapide-25m-h,NA,4
christian reitz,GER,Unknown,tir,pistolet-tir-rapide-25m-h,NA,5
junmin lin,CHN,Unknown,tir,pistolet-tir-rapide-25m-h,NA,6
clement bessaguet,FRA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,7
dai yoshioka,JPN,Unknown,tir,pistolet-tir-rapide-25m-h,NA,8
pavlo korostylov,UKR,Unknown,tir,pistolet-tir-rapide-25m-h,NA,9
ghulam mustafa bashir,PAK,Unknown,tir,pistolet-tir-rapide-25m-h,NA,10
leonid ekimov,ROC,Unknown,tir,pistolet-tir-rapide-25m-h,NA,11
jorge alvarez,CUB,Unknown,tir,pistolet-tir-rapide-25m-h,NA,12
oliver geis,GER,Unknown,tir,pistolet-tir-rapide-25m-h,NA,13
tommaso chelli,ITA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,14
muhammad khalil akhtar,PAK,Unknown,tir,pistolet-tir-rapide-25m-h,NA,15
riccardo mazzetti,ITA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,16
sergei evglevski,AUS,Unknown,tir,pistolet-tir-rapide-25m-h,NA,17
marko carrillo,PER,Unknown,tir,pistolet-tir-rapide-25m-h,NA,18
peeter olesk,EST,Unknown,tir,pistolet-tir-rapide-25m-h,NA,19
isaranuudom phurihiranphat,THA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,20
ruslan lunev,AZE,Unknown,tir,pistolet-tir-rapide-25m-h,NA,21
henry turner leverett,USA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,22
davaakhuu enkhtaivan,MGL,Unknown,tir,pistolet-tir-rapide-25m-h,NA,23
ozgur varlik,TUR,Unknown,tir,pistolet-tir-rapide-25m-h,NA,24
jack hobson leverett iii,USA,Unknown,tir,pistolet-tir-rapide-25m-h,NA,25
bernardo tobar prado,COL,Unknown,tir,pistolet-tir-rapide-25m-h,NA,26
jong-ho song,KOR,Unknown,tir,pistolet-tir-rapide-25m-h,NA,Non classé
jiri prskavec,CZE,Unknown,canoe-slalom,kayak-h,Gold,1
jakub grigar,SVK,Unknown,canoe-slalom,kayak-h,Silver,2
hannes aigner,GER,Unknown,canoe-slalom,kayak-h,Bronze,3
felix oschmautz,AUT,Unknown,canoe-slalom,kayak-h,NA,4
michal smolen,USA,Unknown,canoe-slalom,kayak-h,NA,5
bradley forbes-cryans,GBR,Unknown,canoe-slalom,kayak-h,NA,6
boris neveu,FRA,Unknown,canoe-slalom,kayak-h,NA,7
lucien delfour,AUS,Unknown,canoe-slalom,kayak-h,NA,8
erik holmer,SWE,Unknown,canoe-slalom,kayak-h,NA,9
david llorente,ESP,Unknown,canoe-slalom,kayak-h,NA,10
antoine launay,POR,Unknown,canoe-slalom,kayak-h,NA,11
peter kauzer,SLO,Unknown,canoe-slalom,kayak-h,NA,12
martin dougoud,SUI,Unknown,canoe-slalom,kayak-h,NA,13
giovanni de gennaro,ITA,Unknown,canoe-slalom,kayak-h,NA,14
krzysztof majerczak,POL,Unknown,canoe-slalom,kayak-h,NA,15
kazuya adachi,JPN,Unknown,canoe-slalom,kayak-h,NA,16
xin quan,CHN,Unknown,canoe-slalom,kayak-h,NA,17
mathis soudi,MAR,Unknown,canoe-slalom,kayak-h,NA,18
pedro da silva,BRA,Unknown,canoe-slalom,kayak-h,NA,19
pavel eigel,ROC,Unknown,canoe-slalom,kayak-h,NA,20
lucas rossi,ARG,Unknown,canoe-slalom,kayak-h,NA,21
gabriel de coster,BEL,Unknown,canoe-slalom,kayak-h,NA,22
callum gilbert,NZL,Unknown,canoe-slalom,kayak-h,NA,23
michael tayler,CAN,Unknown,canoe-slalom,kayak-h,NA,24
max whitlock,GBR,Résultats:15.583,gymnastique-artistique,cheval-d-arcons-h,Gold,1
chih kai lee,TPE,Résultats:15.400,gymnastique-artistique,cheval-d-arcons-h,Silver,2
kazuma kaya,JPN,Résultats:14.900,gymnastique-artistique,cheval-d-arcons-h,Bronze,3
david belyavskiy,ROC,Résultats:14.833,gymnastique-artistique,cheval-d-arcons-h,NA,4
kohei kameyama,JPN,Résultats:14.600,gymnastique-artistique,cheval-d-arcons-h,NA,5
alec yoder,USA,Résultats:14.566,gymnastique-artistique,cheval-d-arcons-h,NA,6
rhys mc clenaghan,IRL,Résultats:13.100,gymnastique-artistique,cheval-d-arcons-h,NA,7
wei sun,CHN,Résultats:13.066,gymnastique-artistique,cheval-d-arcons-h,NA,8
tamyra mariama mensah stock,USA,Résultats:14,lutte,libre-68kg-f,Gold,1
blessing oborududu,NGR,Résultats:11,lutte,libre-68kg-f,Silver,2
alla cherkasova,UKR,Résultats:15,lutte,libre-68kg-f,Bronze,3
meerim zhumanazarova,KGZ,Résultats:12,lutte,libre-68kg-f,Bronze,3
sara dosho,JPN,Résultats:3,lutte,libre-68kg-f,NA,=5
battsetseg soronzonbold,MGL,Résultats:9,lutte,libre-68kg-f,NA,=5
feng zhou,CHN,Résultats:5,lutte,libre-68kg-f,NA,7
khanum velieva,ROC,Résultats:4,lutte,libre-68kg-f,NA,8
anna carmen schell,GER,Résultats:3,lutte,libre-68kg-f,NA,9
elis manolova,AZE,Résultats:2,lutte,libre-68kg-f,NA,10
mimi nikolova hristova,BUL,Résultats:1,lutte,libre-68kg-f,NA,11
yudari sanchez rodriguez,CUB,Résultats:1,lutte,libre-68kg-f,NA,12
koumba larroque,FRA,Résultats:0,lutte,libre-68kg-f,NA,13
enas ahmed,EGY,Résultats:0,lutte,libre-68kg-f,NA,14
danielle suzanne lappage,CAN,Résultats:0,lutte,libre-68kg-f,NA,15
agnieszka jadwiga wieszczek-kordus,POL,Résultats:0,lutte,libre-68kg-f,NA,16
neeraj chopra,IND,Résultats:87.58,athletisme,lancer-du-javelot-h,Gold,1
jakub vadlejch,CZE,Résultats:86.67,athletisme,lancer-du-javelot-h,Silver,2
vitezslav vesely,CZE,Résultats:85.44,athletisme,lancer-du-javelot-h,Bronze,3
julian weber,GER,Résultats:85.30,athletisme,lancer-du-javelot-h,NA,4
arshad nadeem,PAK,Résultats:84.62,athletisme,lancer-du-javelot-h,NA,5
aliaksei katkavets,BLR,Résultats:83.71,athletisme,lancer-du-javelot-h,NA,6
andrian mardare,MDA,Résultats:83.30,athletisme,lancer-du-javelot-h,NA,7
lassi etelatalo,FIN,Résultats:83.28,athletisme,lancer-du-javelot-h,NA,8
johannes vetter,GER,Résultats:82.52,athletisme,lancer-du-javelot-h,NA,9
pavel mialeshka,BLR,Résultats:82.28,athletisme,lancer-du-javelot-h,NA,10
kim amb,SWE,Résultats:79.69,athletisme,lancer-du-javelot-h,NA,11
alexandru mihaita novac,ROU,Résultats:79.29,athletisme,lancer-du-javelot-h,NA,12
antonella palmisano,ITA,Résultats:1:29:12,athletisme,20km-marche-f,Gold,1
sandra arenas,COL,Résultats:1:29:37,athletisme,20km-marche-f,Silver,2
hong liu,CHN,Résultats:1:29:57,athletisme,20km-marche-f,Bronze,3
maria perez,ESP,Résultats:1:30:05,athletisme,20km-marche-f,NA,4
alegna gonzalez,MEX,Résultats:1:30:33,athletisme,20km-marche-f,NA,5
jemima montag,AUS,Résultats:1:30:39,athletisme,20km-marche-f,NA,6
shijie qieyang,CHN,Résultats:1:31:04,athletisme,20km-marche-f,NA,7
antigoni drisbioti,GRE,Résultats:1:31:24,athletisme,20km-marche-f,NA,8
paola perez,ECU,Résultats:1:31:26,athletisme,20km-marche-f,NA,9
katarzyna zdzieblo,POL,Résultats:1:31:29,athletisme,20km-marche-f,NA,10
erica de sena,BRA,Résultats:1:31:39,athletisme,20km-marche-f,NA,11
jiayu yang,CHN,Résultats:1:31:54,athletisme,20km-marche-f,NA,12
nanako fujii,JPN,Résultats:1:31:55,athletisme,20km-marche-f,NA,13
raquel gonzalez,ESP,Résultats:1:31:57,athletisme,20km-marche-f,NA,14
kumiko okada,JPN,Résultats:1:31:57,athletisme,20km-marche-f,NA,15
elvira khasanova,ROC,Résultats:1:31:58,athletisme,20km-marche-f,NA,16
. priyanka,IND,Résultats:1:32:36,athletisme,20km-marche-f,NA,17
valentina trapletti,ITA,Résultats:1:33:12,athletisme,20km-marche-f,NA,18
mariia sakharuk,UKR,Résultats:1:34:04,athletisme,20km-marche-f,NA,19
ana cabecinha,POR,Résultats:1:34:08,athletisme,20km-marche-f,NA,20
noelia vargas,CRC,Résultats:1:35:07,athletisme,20km-marche-f,NA,21
meryem bekmez,TUR,Résultats:1:35:08,athletisme,20km-marche-f,NA,22
anastasiya rarovskaya,BLR,Résultats:1:35:09,athletisme,20km-marche-f,NA,23
mary luz andia,PER,Résultats:1:35:25,athletisme,20km-marche-f,NA,24
sandra galvis,COL,Résultats:1:35:36,athletisme,20km-marche-f,NA,25
brigita virbalyte,LTU,Résultats:1:35:56,athletisme,20km-marche-f,NA,26
hanna shevchuk,UKR,Résultats:1:36:27,athletisme,20km-marche-f,NA,27
karla johana jaramillo navarrete,ECU,Résultats:1:36:32,athletisme,20km-marche-f,NA,28
kiriaki filitisakou,GRE,Résultats:1:36:51,athletisme,20km-marche-f,NA,29
tereza durdiakova,CZE,Résultats:1:36:58,athletisme,20km-marche-f,NA,30
anna terlyukevich,BLR,Résultats:1:37:22,athletisme,20km-marche-f,NA,31
bhawna jat,IND,Résultats:1:37:38,athletisme,20km-marche-f,NA,32
robyn stevens,USA,Résultats:1:37:42,athletisme,20km-marche-f,NA,33
laura garcia-caro,ESP,Résultats:1:37:48,athletisme,20km-marche-f,NA,34
siu nga ching,HKG,Résultats:1:37:53,athletisme,20km-marche-f,NA,35
leydi guerra,PER,Résultats:1:38:10,athletisme,20km-marche-f,NA,36
katie hayward,AUS,Résultats:1:38:11,athletisme,20km-marche-f,NA,37
rebecca henderson,AUS,Résultats:1:38:21,athletisme,20km-marche-f,NA,38
ayse tekdal,TUR,Résultats:1:38:40,athletisme,20km-marche-f,NA,39
kaori kawazoe,JPN,Résultats:1:39:31,athletisme,20km-marche-f,NA,40
evin demir,TUR,Résultats:1:39:55,athletisme,20km-marche-f,NA,41
aiman ratova,KAZ,Résultats:1:40:02,athletisme,20km-marche-f,NA,42
lyudmila olyanovska,UKR,Résultats:1:40:20,athletisme,20km-marche-f,NA,43
mirna ortiz,GUA,Résultats:1:40:23,athletisme,20km-marche-f,NA,44
maria czakova,SVK,Résultats:1:41:29,athletisme,20km-marche-f,NA,45
barbara kovacs,HUN,Résultats:1:41:49,athletisme,20km-marche-f,NA,46
valeria ortuno martinez,MEX,Résultats:1:41:50,athletisme,20km-marche-f,NA,47
angela castro,BOL,Résultats:1:42:25,athletisme,20km-marche-f,NA,48
viktoryia rashchupkina,BLR,Résultats:1:43:33,athletisme,20km-marche-f,NA,49
mayra perez,GUA,Résultats:1:44:30,athletisme,20km-marche-f,NA,50
ilse guerrero,MEX,Résultats:1:45:47,athletisme,20km-marche-f,NA,51
eleonora giorgi,ITA,Résultats:1:46:36,athletisme,20km-marche-f,NA,52
panayiota tsinopoulou,GRE,Résultats:1:47:19,athletisme,20km-marche-f,NA,53
kimberly garcia,PER,Résultats:N'a pas terminé,athletisme,20km-marche-f,NA,Non classé
viktoria madarasz,HUN,Résultats:N'a pas terminé,athletisme,20km-marche-f,NA,Non classé
saskia feige,GER,Résultats:N'a pas terminé,athletisme,20km-marche-f,NA,Non classé
glenda morejon,ECU,Résultats:N'a pas terminé,athletisme,20km-marche-f,NA,Non classé
yehualeye beletew,ETH,Résultats:N'a pas terminé,athletisme,20km-marche-f,NA,Non classé
soufiane elbakkali,MAR,Résultats:8:08.90,athletisme,3000m-steeple-h,Gold,1
lamecha girma,ETH,Résultats:8:10.38,athletisme,3000m-steeple-h,Silver,2
benjamin kigen,KEN,Résultats:8:11.45,athletisme,3000m-steeple-h,Bronze,3
getnet wale,ETH,Résultats:8:14.97,athletisme,3000m-steeple-h,NA,4
yemane haileselassie,ERI,Résultats:8:15.34,athletisme,3000m-steeple-h,NA,5
matthew hughes,CAN,Résultats:8:16.03,athletisme,3000m-steeple-h,NA,6
ryuji miura,JPN,Résultats:8:16.90,athletisme,3000m-steeple-h,NA,7
topi raitanen,FIN,Résultats:8:17.44,athletisme,3000m-steeple-h,NA,8
ala zoghlami,ITA,Résultats:8:18.50,athletisme,3000m-steeple-h,NA,9
abraham kibiwot,KEN,Résultats:8:19.41,athletisme,3000m-steeple-h,NA,10
benard keter,USA,Résultats:8:22.12,athletisme,3000m-steeple-h,NA,11
alexis phelut,FRA,Résultats:8:23.14,athletisme,3000m-steeple-h,NA,12
mohamed tindouft,MAR,Résultats:8:23.56,athletisme,3000m-steeple-h,NA,13
ahmed abdelwahed,ITA,Résultats:8:24.34,athletisme,3000m-steeple-h,NA,14
john gay,CAN,Résultats:8:35.41,athletisme,3000m-steeple-h,NA,15
thomas pidcock,GBR,Unknown,vtt,cross-country-h,Gold,1
mathias flueckiger,SUI,Unknown,vtt,cross-country-h,Silver,2
david valero serrano,ESP,Unknown,vtt,cross-country-h,Bronze,3
nino schurter,SUI,Unknown,vtt,cross-country-h,NA,4
victor koretzky,FRA,Unknown,vtt,cross-country-h,NA,5
anton cooper,NZL,Unknown,vtt,cross-country-h,NA,6
vlad dascalu,ROU,Unknown,vtt,cross-country-h,NA,7
alan hatherly,RSA,Unknown,vtt,cross-country-h,NA,8
jordan sarrou,FRA,Unknown,vtt,cross-country-h,NA,9
milan vader,NED,Unknown,vtt,cross-country-h,NA,10
anton sintsov,ROC,Unknown,vtt,cross-country-h,NA,11
filippo colombo,SUI,Unknown,vtt,cross-country-h,NA,12
henrique avancini,BRA,Unknown,vtt,cross-country-h,NA,13
christopher blevins,USA,Unknown,vtt,cross-country-h,NA,14
jofre cullell estape,ESP,Unknown,vtt,cross-country-h,NA,15
martin vidaurre kossmann,CHI,Unknown,vtt,cross-country-h,NA,16
maximilian foidl,AUT,Unknown,vtt,cross-country-h,NA,17
jens schuermans,BEL,Unknown,vtt,cross-country-h,NA,18
bartlomiej wawak,POL,Unknown,vtt,cross-country-h,NA,19
gerhard kerschbaumer,ITA,Unknown,vtt,cross-country-h,NA,20
maximilian brandl,GER,Unknown,vtt,cross-country-h,NA,21
sebastian fini carstensen,DEN,Unknown,vtt,cross-country-h,NA,22
jose gerardo ulloa arevalo,MEX,Unknown,vtt,cross-country-h,NA,23
erik haegstad,NOR,Unknown,vtt,cross-country-h,NA,24
luca braidot,ITA,Unknown,vtt,cross-country-h,NA,25
peter disera,CAN,Unknown,vtt,cross-country-h,NA,26
luiz henrique cocuzzi,BRA,Unknown,vtt,cross-country-h,NA,27
manuel fumic,GER,Unknown,vtt,cross-country-h,NA,28
kohei yamamoto,JPN,Unknown,vtt,cross-country-h,NA,29
daniel mcconnell,AUS,Unknown,vtt,cross-country-h,NA,30
alex miller,NAM,Unknown,vtt,cross-country-h,NA,31
andras parti,HUN,Unknown,vtt,cross-country-h,NA,32
shlomi haimy,ISR,Unknown,vtt,cross-country-h,NA,33
